hospital,existing_lat,existing_lon,new_lat,new_lon,distance_km,matched_query,status
Manipal Hospital Whitefield,,,12.958259,77.745391,,"Manipal Hospital Whitefield, Whitefield, Bengaluru, Karnataka",existing_invalid_new_available
Manipal Hospital Old Airport Road,,,12.959678,77.649238,,"Manipal Hospital Old Airport Road, Old Airport Road, Bengaluru, Karnataka",existing_invalid_new_available
Manipal Hospital Yeshwanthpur,,,13.017694,77.555501,,"Yeshwanthpur, Bengaluru, Karnataka",existing_invalid_new_available
Manipal Hospital Sarjapur Road,,,12.923994,77.65303,,"Sarjapur Road, Bengaluru, Karnataka",existing_invalid_new_available
Fortis Hospital Bannerghatta,,,12.894751,77.598676,,"Fortis Hospital Bannerghatta, Bannerghatta Road, Bengaluru, Karnataka",existing_invalid_new_available
Fortis Hospital Cunningham Road,,,12.988549,77.594574,,"Fortis Hospital Cunningham Road, Cunningham Road, Bengaluru, Karnataka",existing_invalid_new_available
Apollo Hospital Bannerghatta Road,,,12.896298,77.598285,,"Apollo Hospital Bannerghatta Road, Bannerghatta Road, Bengaluru, Karnataka",existing_invalid_new_available
Apollo Hospital Jayanagar,,,12.929273,77.582423,,"Jayanagar, Bengaluru, Karnataka",existing_invalid_new_available
Apollo Hospital Sheshadripuram,,,12.997121,77.580675,,"Sheshadripuram, Bengaluru, Karnataka",existing_invalid_new_available
Narayana Health City,,,12.816016,77.689222,,"Bommasandra, Bengaluru, Karnataka",existing_invalid_new_available
Narayana Institute of Cardiac Sciences,,,12.816016,77.689222,,"Bommasandra, Bengaluru, Karnataka",existing_invalid_new_available
Columbia Asia Hospital Hebbal,,,13.038218,77.5919,,"Hebbal, Bengaluru, Karnataka",existing_invalid_new_available
Columbia Asia Hospital Yeshwanthpur,,,13.017694,77.555501,,"Yeshwanthpur, Bengaluru, Karnataka",existing_invalid_new_available
Columbia Asia Hospital Whitefield,,,12.958259,77.745391,,"Columbia Asia Hospital Whitefield, Whitefield, Bengaluru, Karnataka",existing_invalid_new_available
Aster CMI Hospital,,,13.038218,77.5919,,"Hebbal, Bengaluru, Karnataka",existing_invalid_new_available
Aster RV Hospital,,,12.911417,77.585027,,"Aster RV Hospital, JP Nagar, Bengaluru, Karnataka",existing_invalid_new_available
Sakra World Hospital,,,12.955257,77.698416,,"Marathahalli, Bengaluru, Karnataka",existing_invalid_new_available
BGS Gleneagles Global Hospital,,,12.917657,77.483757,,"Kengeri, Bengaluru, Karnataka",existing_invalid_new_available
Vikram Hospital Millers Road,,,12.988213,77.592159,,"Vikram Hospital Millers Road, Millers Road, Bengaluru, Karnataka",existing_invalid_new_available
