hospital,contact_number,latitude,longitude,total_beds,available_beds,avg_daily_patients,critical_patients,ventilators,waiting_queue,icu_specialist_count,oxygen_supply_pct,last_updated,district,address,hospital_type
Manipal Hospital Whitefield,+91-080-25023456,12.958259,77.745391,215,11,121,22,8,2,6,80.0,2026-07-05 22:12,Bangalore Urban,"Whitefield, Bengaluru, Karnataka",Private
Manipal Hospital Old Airport Road,N/A,12.959678,77.649238,79,10,33,3,10,13,16,72.0,2026-07-05 14:29,Bangalore Urban,"Old Airport Road, Bengaluru, Karnataka",Private
Manipal Hospital Yeshwanthpur,N/A,13.017694,77.555501,96,10,74,3,41,3,10,88.3,2026-07-05 14:29,Bangalore Urban,"Yeshwanthpur, Bengaluru, Karnataka",Private
Manipal Hospital Sarjapur Road,N/A,12.923994,77.65303,348,5,315,20,30,1,10,71.4,2026-07-05 14:29,Bangalore Urban,"Sarjapur Road, Bengaluru, Karnataka",Private
Fortis Hospital Bannerghatta,+91-080-66214444,12.894751,77.598676,118,11,73,6,39,3,12,86.2,2026-07-05 14:29,Bangalore Urban,"Bannerghatta Road, Bengaluru, Karnataka",Private
Fortis Hospital Cunningham Road,N/A,12.988549,77.594574,142,5,94,20,45,6,14,72.8,2026-07-05 14:29,Bangalore Urban,"Cunningham Road, Bengaluru, Karnataka",Private
Apollo Hospital Bannerghatta Road,N/A,12.896298,77.598285,82,11,23,21,18,15,16,92.5,2026-07-05 14:29,Bangalore Urban,"Bannerghatta Road, Bengaluru, Karnataka",Private
Apollo Hospital Jayanagar,+91-080-26304050,12.929273,77.582423,288,39,252,13,24,7,8,90.3,2026-07-05 14:29,Bangalore Urban,"Jayanagar, Bengaluru, Karnataka",Private
Apollo Hospital Sheshadripuram,N/A,12.997121,77.580675,174,4,167,11,38,15,13,91.2,2026-07-05 14:29,Bangalore Urban,"Sheshadripuram, Bengaluru, Karnataka",Private
Narayana Health City,+91-080-71222222,12.816016,77.689222,197,21,38,5,37,13,8,92.0,2026-07-05 14:29,Bangalore Urban,"Bommasandra, Bengaluru, Karnataka",Private
Narayana Institute of Cardiac Sciences,N/A,12.816016,77.689222,127,17,73,3,47,2,13,79.9,2026-07-05 14:29,Bangalore Urban,"Bommasandra, Bengaluru, Karnataka",Private
Columbia Asia Hospital Hebbal,+91-080-61888888,13.038218,77.5919,229,33,168,16,9,2,11,83.7,2026-07-05 14:29,Bangalore Urban,"Hebbal, Bengaluru, Karnataka",Private
Columbia Asia Hospital Yeshwanthpur,N/A,13.017694,77.555501,83,2,66,24,24,20,17,78.3,2026-07-05 14:29,Bangalore Urban,"Yeshwanthpur, Bengaluru, Karnataka",Private
Columbia Asia Hospital Whitefield,N/A,12.958259,77.745391,247,24,25,16,27,5,6,84.3,2026-07-05 14:29,Bangalore Urban,"Whitefield, Bengaluru, Karnataka",Private
Aster CMI Hospital,N/A,13.038218,77.5919,161,26,93,6,20,12,15,96.6,2026-07-05 14:29,Bangalore Urban,"Hebbal, Bengaluru, Karnataka",Private
Aster RV Hospital,N/A,12.911417,77.585027,304,7,105,16,30,17,11,95.6,2026-07-05 14:29,Bangalore Urban,"JP Nagar, Bengaluru, Karnataka",Private
Sakra World Hospital,N/A,12.955257,77.698416,270,37,91,24,31,11,15,97.8,2026-07-05 14:29,Bangalore Urban,"Marathahalli, Bengaluru, Karnataka",Private
BGS Gleneagles Global Hospital,+91-080-26751000,12.917657,77.483757,127,4,42,6,19,7,3,84.1,2026-07-05 14:29,Bangalore Urban,"Kengeri, Bengaluru, Karnataka",Private
Vikram Hospital Millers Road,+91-080-22262626,12.988213,77.592159,143,10,56,2,14,13,14,87.7,2026-07-05 14:29,Bangalore Urban,"Millers Road, Bengaluru, Karnataka",Private
Vikram Hospital Bellandur,N/A,12.932049,77.684292,213,10,196,18,44,20,4,83.2,2026-07-05 14:29,Bangalore Urban,"Bellandur, Bengaluru, Karnataka",Private
St. John's Medical College Hospital,+91-080-22065000,12.929678,77.618358,336,27,223,14,30,3,18,88.4,2026-07-05 14:29,Bangalore Urban,"Koramangala, Bengaluru, Karnataka",Private
MS Ramaiah Memorial Hospital,+91-080-23606789,13.03331,77.56682,81,5,24,8,33,5,6,79.9,2026-07-05 14:29,Bangalore Urban,"MSR Nagar, Bengaluru, Karnataka",Private
Sparsh Hospital Infantry Road,N/A,12.98333,77.594536,76,3,20,20,14,17,6,97.5,2026-07-05 14:29,Bangalore Urban,"Infantry Road, Bengaluru, Karnataka",Private
Sparsh Hospital Yeshwanthpur,N/A,13.017694,77.555501,63,3,33,21,29,4,11,97.7,2026-07-05 14:29,Bangalore Urban,"Yeshwanthpur, Bengaluru, Karnataka",Private
HCG Cancer Centre Bengaluru,N/A,12.966608,77.592509,236,32,51,5,36,14,18,84.0,2026-07-05 14:29,Bangalore Urban,"Sampangi Rama Nagar, Bengaluru, Karnataka",Private
Sagar Hospitals Jayanagar,N/A,12.927891,77.599838,93,4,33,25,26,8,18,94.0,2026-07-05 14:29,Bangalore Urban,"Jayanagar, Bengaluru, Karnataka",Private
Sagar Hospitals Banashankari,N/A,12.92782,77.556621,132,18,22,8,38,11,7,90.0,2026-07-05 14:29,Bangalore Urban,"Banashankari, Bengaluru, Karnataka",Private
Rainbow Children's Hospital Bengaluru,N/A,12.955257,77.698416,63,10,39,22,10,8,14,96.3,2026-07-05 14:29,Bangalore Urban,"Marathahalli, Bengaluru, Karnataka",Private
Motherhood Hospital Indiranagar,N/A,12.978441,77.637585,232,16,156,19,37,10,10,87.8,2026-07-05 14:29,Bangalore Urban,"Indiranagar, Bengaluru, Karnataka",Private
Cloudnine Hospital Old Airport Road,N/A,12.959775,77.656913,149,9,124,14,19,6,18,80.3,2026-07-05 14:29,Bangalore Urban,"Old Airport Road, Bengaluru, Karnataka",Private
Bangalore Baptist Hospital,N/A,13.035789,77.589498,64,2,37,17,21,6,14,83.0,2026-07-05 14:29,Bangalore Urban,"Bellary Road, Bengaluru, Karnataka",Private
Mallya Hospital,N/A,12.96798,77.595074,228,25,40,9,11,7,18,75.7,2026-07-05 14:29,Bangalore Urban,"Vittal Mallya Road, Bengaluru, Karnataka",Private
Vydehi Institute of Medical Sciences,N/A,12.995743,77.757949,154,17,20,17,46,11,5,94.2,2026-07-05 14:29,Bangalore Urban,"Whitefield, Bengaluru, Karnataka",Private
East Point Hospital,N/A,13.052684,77.716977,111,14,45,17,16,13,13,72.5,2026-07-05 14:29,Bangalore Urban,"Virgo Nagar, Bengaluru, Karnataka",Private
Apollo BGS Hospital Mysuru,N/A,12.27664,76.62911,252,31,122,25,10,5,8,98.8,2026-07-05 14:29,Mysuru,"Adichunchanagiri Road, Mysuru, Karnataka",Private
JSS Hospital Mysuru,N/A,12.297588,76.654858,64,4,57,16,46,4,18,89.1,2026-07-05 14:29,Mysuru,"MG Road, Mysuru, Karnataka",Private
Vikram Hospital Mysuru,N/A,12.303755,76.691372,229,11,160,19,13,0,3,93.2,2026-07-05 14:29,Mysuru,"Siddhartha Layout, Mysuru, Karnataka",Private
Columbia Asia Hospital Mysuru,N/A,12.350047,76.660655,102,6,75,8,18,0,11,76.2,2026-07-05 14:29,Mysuru,"Mysuru, Karnataka",Private
KMC Hospital Attavar Mangaluru,N/A,12.858859,74.848002,306,17,186,10,39,13,7,71.8,2026-07-05 14:29,Dakshina Kannada,"Attavar, Mangaluru, Karnataka",Private
KMC Hospital Ambedkar Circle Mangaluru,N/A,12.858859,74.848002,231,31,189,20,38,13,7,85.4,2026-07-05 14:29,Dakshina Kannada,"Ambedkar Circle, Mangaluru, Karnataka",Private
Father Muller Medical College Hospital Mangaluru,N/A,12.864648,74.860003,126,7,38,17,44,3,4,79.5,2026-07-05 14:29,Dakshina Kannada,"Kankanady, Mangaluru, Karnataka",Private
Unity Hospital Mangaluru,N/A,12.87114,74.849112,315,35,304,17,11,17,4,77.2,2026-07-05 14:29,Dakshina Kannada,"Falnir, Mangaluru, Karnataka",Private
Kasturba Hospital Manipal,N/A,13.35381,74.790093,191,3,45,18,33,17,3,92.0,2026-07-05 14:29,Udupi,"Manipal, Udupi, Karnataka",Private
Suyog Hospital Hubli,N/A,15.351838,75.137985,82,9,40,21,37,19,9,90.1,2026-07-05 14:29,Dharwad,"Hubli, Karnataka",Private
Vinayaka Hospital Hubli,N/A,15.351838,75.137985,281,34,264,18,20,16,11,96.8,2026-07-05 14:29,Dharwad,"Hubli, Karnataka",Private
KLES Dr Prabhakar Kore Hospital Belagavi,N/A,15.885726,74.51844,153,16,55,15,12,12,17,79.2,2026-07-05 14:29,Belagavi,"Nehru Nagar, Belagavi, Karnataka",Private
Manipal Hospital Malleshwaram,N/A,13.001128,77.563929,182,11,67,22,19,4,10,88.6,2026-07-05 14:31,Bangalore Urban,"Malleshwaram, Bengaluru, Karnataka",Private
Manipal Hospital HAL Airport Road,N/A,12.959846,77.649214,145,6,29,19,18,9,3,82.5,2026-07-05 14:31,Bangalore Urban,"HAL Airport Road, Bengaluru, Karnataka",Private
Kauvery Hospital Electronic City,N/A,12.855088,77.66316,57,6,29,4,21,14,16,97.5,2026-07-05 14:31,Bangalore Urban,"Electronic City, Bengaluru, Karnataka",Private
Aster Whitefield Hospital,N/A,12.995743,77.757949,181,13,79,17,40,18,16,89.5,2026-07-05 14:31,Bangalore Urban,"Whitefield, Bengaluru, Karnataka",Private
Narayana Multispeciality Hospital HSR Layout,N/A,12.908209,77.643513,270,42,100,22,12,11,11,90.0,2026-07-05 14:31,Bangalore Urban,"HSR Layout, Bengaluru, Karnataka",Private
Cytecare Cancer Hospital,N/A,12.923994,77.65303,333,41,89,16,48,14,8,78.5,2026-07-05 14:31,Bangalore Urban,"Sarjapur Road, Bengaluru, Karnataka",Private
Shanti Hospital and Research Centre,N/A,12.995743,77.757949,141,18,65,10,28,14,11,87.6,2026-07-05 14:31,Bangalore Urban,"Kadugodi, Bengaluru, Karnataka",Private
Chinmaya Mission Hospital,N/A,12.978483,77.646222,252,10,167,17,40,7,10,95.7,2026-07-05 14:31,Bangalore Urban,"Indiranagar, Bengaluru, Karnataka",Private
Sri Shankara Cancer Hospital,N/A,12.954262,77.570947,237,10,38,15,46,20,17,81.3,2026-07-05 14:31,Bangalore Urban,"Basavanagudi, Bengaluru, Karnataka",Private
Trustwell Hospital Rajajinagar,N/A,13.000523,77.549617,267,4,77,6,36,14,11,74.6,2026-07-05 14:31,Bangalore Urban,"Rajajinagar, Bengaluru, Karnataka",Private
HOSMAT Hospital,N/A,12.969112,77.613307,261,18,246,13,17,20,14,85.1,2026-07-05 14:31,Bangalore Urban,"Magrath Road, Bengaluru, Karnataka",Private
Trinity Hospital and Heart Foundation,N/A,12.962467,77.638196,120,9,112,17,18,19,4,86.8,2026-07-05 14:31,Bangalore Urban,"Domlur, Bengaluru, Karnataka",Private
People Tree Hospitals Tumkur Road,N/A,13.028727,77.539383,69,7,57,25,41,10,8,78.6,2026-07-05 14:31,Bangalore Urban,"Tumkur Road, Bengaluru, Karnataka",Private
Narayana Institute of Cardiac Sciences Hubli,N/A,15.351838,75.137985,134,19,34,9,15,2,16,88.7,2026-07-05 14:31,Dharwad,"Hubli, Karnataka",Private
KIMS Hospital Hubli,N/A,15.361448,75.132633,334,53,298,24,7,14,13,88.7,2026-07-05 14:31,Dharwad,"Vidyanagar, Hubli, Karnataka",Private
Bapuji Hospital Davanagere,N/A,14.455262,75.917375,319,2,84,11,12,13,12,96.3,2026-07-05 14:31,Davanagere,"Davanagere, Karnataka",Private
Suyog Hospital Belagavi,N/A,16.158785,74.888862,339,40,59,17,38,11,4,70.2,2026-07-05 14:31,Belagavi,"Belagavi, Karnataka",Private
Siddaganga Hospital Tumakuru,N/A,13.339784,77.11319,221,11,147,19,39,16,18,76.5,2026-07-05 14:31,Tumakuru,"Tumakuru, Karnataka",Private
Basappa Memorial Hospital Mysuru,N/A,12.320693,76.620407,156,11,28,14,37,5,7,77.5,2026-07-05 14:31,Mysuru,"Mysuru, Karnataka",Private
Victoria Hospital,+91-080-26700435,12.953935,77.585143,107,5,65,9,19,4,6,89.6,2026-07-04 13:45,Bangalore Urban,"Fort, Bengaluru, Karnataka",Government
Bowring and Lady Curzon Hospital,+91-080-25544444,12.985529,77.60545,329,16,246,3,6,2,9,76.7,2026-07-04 13:45,Bangalore Urban,"Shivajinagar, Bengaluru, Karnataka",Government
Vani Vilas Hospital,+91-080-26704213,12.953935,77.585143,63,13,36,24,46,17,16,76.4,2026-07-04 13:45,Bangalore Urban,"Fort, Bengaluru, Karnataka",Government
KC General Hospital,+91-080-23491753,13.002735,77.570325,192,5,70,24,32,10,11,74.5,2026-07-04 13:45,Bangalore Urban,"Malleshwaram, Bengaluru, Karnataka",Government
Bangalore Medical College and Research Institute,+91-080-26701070,12.953935,77.585143,222,11,53,14,11,11,14,87.5,2026-07-04 13:45,Bangalore Urban,"Fort, Bengaluru, Karnataka",Government
Jayadeva Institute of Cardiovascular Sciences,+91-080-22977777,12.929273,77.582423,72,16,59,19,12,12,5,86.0,2026-07-04 13:45,Bangalore Urban,"Jayanagar, Bengaluru, Karnataka",Government
Kidwai Memorial Institute of Oncology,+91-080-26094000,12.93752,77.598541,235,41,79,24,9,1,10,92.4,2026-07-04 13:45,Bangalore Urban,"Hosur Road, Bengaluru, Karnataka",Government
NIMHANS,+91-080-46110007,12.943168,77.596475,90,12,85,5,29,8,17,88.4,2026-07-04 13:45,Bangalore Urban,"Hosur Road, Bengaluru, Karnataka",Government
Indira Gandhi Institute of Child Health,+91-080-22867744,12.985529,77.60545,236,15,124,13,18,8,5,87.7,2026-07-04 13:45,Bangalore Urban,"Shivajinagar, Bengaluru, Karnataka",Government
Institute of Nephro Urology Bengaluru,+91-080-22868002,12.985529,77.60545,137,22,123,9,15,14,15,77.8,2026-07-04 13:45,Bangalore Urban,"Shivajinagar, Bengaluru, Karnataka",Government
St Marthas Hospital Bengaluru,+91-080-22861803,12.973008,77.585602,335,33,196,3,19,1,13,81.6,2026-07-04 13:45,Bangalore Urban,"Nrupathunga Road, Bengaluru, Karnataka",Government
ESI Hospital Rajajinagar,+91-080-23393102,12.990498,77.553092,83,11,66,24,25,6,18,81.5,2026-07-04 13:45,Bangalore Urban,"Rajajinagar, Bengaluru, Karnataka",Government
ESI Hospital Indiranagar,+91-080-25278252,12.971302,77.636702,284,23,97,6,20,17,11,91.7,2026-07-04 13:45,Bangalore Urban,"Indiranagar, Bengaluru, Karnataka",Government
ESIC Medical College Bengaluru,+91-080-28523000,13.000536,77.5497,269,62,179,14,28,7,7,84.8,2026-07-04 13:45,Bangalore Urban,"Rajajinagar, Bengaluru, Karnataka",Government
Jayanagar General Hospital,+91-080-26561234,12.926103,77.592544,96,6,85,5,14,20,8,93.0,2026-07-04 13:45,Bangalore Urban,"Jayanagar, Bengaluru, Karnataka",Government
Leprosy Hospital Bengaluru,+91-080-22201862,12.975653,77.555355,266,43,46,14,29,19,17,85.3,2026-07-04 13:45,Bangalore Urban,"Magadi Road, Bengaluru, Karnataka",Government
District Hospital Bengaluru North,+91-080-28465001,13.022142,77.640337,333,6,88,23,39,8,13,73.2,2026-07-04 13:45,Bangalore Urban,"Kalyan Nagar, Bengaluru, Karnataka",Government
District Hospital Bengaluru South,+91-080-26342001,12.909694,77.586607,272,25,146,2,21,16,8,84.7,2026-07-04 13:45,Bangalore Urban,"JP Nagar, Bengaluru, Karnataka",Government
District Hospital Bengaluru East,+91-080-25368001,12.978618,77.64187,104,25,68,22,37,19,9,74.4,2026-07-04 13:45,Bangalore Urban,"Indiranagar, Bengaluru, Karnataka",Government
CHC Yelahanka,+91-080-28561001,13.100698,77.596345,132,22,97,2,43,10,18,70.6,2026-07-04 13:45,Bangalore Urban,"Yelahanka, Bengaluru, Karnataka",Government
CHC Krishnarajapuram,+91-080-25611001,13.007516,77.695935,235,58,108,9,8,7,5,72.5,2026-07-04 13:45,Bangalore Urban,"KR Puram, Bengaluru, Karnataka",Government
CHC Attibele,+91-080-27841002,12.775125,77.770922,298,13,94,6,47,15,8,77.7,2026-07-04 13:45,Bangalore Urban,"Attibele, Bengaluru, Karnataka",Government
District Hospital Devanahalli,+91-080-27681001,13.24835,77.713438,266,66,84,19,49,6,12,81.6,2026-07-04 13:45,Bangalore Rural,"Devanahalli, Karnataka",Government
District Hospital Doddaballapura,+91-080-27671001,13.292958,77.543146,241,33,162,16,12,7,10,71.9,2026-07-04 13:45,Bangalore Rural,"Doddaballapura, Karnataka",Government
District Hospital Hosakote,+91-080-27971001,13.459941,77.214878,60,14,47,9,42,7,3,72.1,2026-07-04 13:45,Bangalore Rural,"Hosakote, Karnataka",Government
District Hospital Nelamangala,+91-080-27732001,13.097967,77.394559,80,12,34,3,26,2,10,78.1,2026-07-04 13:45,Bangalore Rural,"Nelamangala, Karnataka",Government
CHC Anekal,+91-080-27841001,12.710315,77.688619,298,32,97,25,41,18,18,77.0,2026-07-04 13:45,Bangalore Rural,"Anekal, Karnataka",Government
CHC Hoskote,+91-080-27971002,13.073014,77.792138,292,57,127,5,11,13,14,82.3,2026-07-04 13:45,Bangalore Rural,"Hoskote, Karnataka",Government
CHC Kanakapura,+91-080-27532001,12.554856,77.419882,289,11,202,22,46,3,4,81.7,2026-07-04 13:45,Bangalore Rural,"Kanakapura, Karnataka",Government
CHC Magadi,+91-080-27657001,12.956735,77.224228,223,11,93,8,17,17,17,74.1,2026-07-04 13:45,Bangalore Rural,"Magadi, Karnataka",Government
K R Hospital Mysuru,+91-0821-2423001,12.313393,76.649727,143,13,89,9,9,14,6,71.5,2026-07-04 13:45,Mysuru,"Irwin Road, Mysuru, Karnataka",Government
Cheluvamba Hospital Mysuru,+91-0821-2422890,12.313893,76.649012,326,6,77,9,15,13,18,84.0,2026-07-04 13:45,Mysuru,"Irwin Road, Mysuru, Karnataka",Government
Mysore Medical College and Research Institute,+91-0821-2423001,12.314673,76.649496,255,62,45,7,29,0,15,77.7,2026-07-04 13:45,Mysuru,"Irwin Road, Mysuru, Karnataka",Government
District Hospital Mysuru,+91-0821-2420001,12.349918,76.628059,282,41,138,24,40,15,7,75.5,2026-07-04 13:45,Mysuru,"Mysuru, Karnataka",Government
ESI Hospital Mysuru,+91-0821-2412001,12.357989,76.610508,161,8,104,25,39,1,13,71.7,2026-07-04 13:45,Mysuru,"Hebbal, Mysuru, Karnataka",Government
Taluk General Hospital Hunsur,+91-08222-252001,12.303509,76.29281,349,66,287,18,15,1,5,94.7,2026-07-04 13:45,Mysuru,"Hunsur, Mysuru, Karnataka",Government
Taluk General Hospital Nanjangud,+91-08221-222001,12.122068,76.684341,85,7,73,9,30,3,10,86.8,2026-07-04 13:45,Mysuru,"Nanjangud, Mysuru, Karnataka",Government
Taluk General Hospital T Narsipur,+91-08227-262001,12.211977,76.898135,70,14,35,15,47,18,13,97.1,2026-07-04 13:45,Mysuru,"T Narsipur, Mysuru, Karnataka",Government
